Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.000000,-1.390608,1.109380,1.984419,1.859460,-0.140524,-1.265628,0.109415,1.859271,0.984286,-0.640704,-0.890679,-0.390514,0.484469,0.234367,-0.640571,-2.140547,-1.015869,0.859494,-0.140700,-0.828175,0.000000
0.004000,-1.996780,1.628078,3.378287,3.128090,0.003155,-2.121988,-0.371802,2.753290,1.503124,-0.621905,-0.621854,-0.871856,1.378275,0.753139,-0.496951,-5.997157,-1.371826,0.752978,0.003089,-0.809264,0.000000
0.008000,-2.521927,1.978173,4.353216,4.103055,0.228013,-2.896957,-0.896958,3.353249,1.853170,-0.396977,-0.271951,-1.396869,2.353154,1.228135,-0.396814,-9.146788,-1.646934,0.728251,0.103116,-0.709458,0.000000
0.012000,-2.859278,2.015787,4.890829,4.640827,0.265614,-3.359426,-1.484431,3.640583,2.015616,-0.234347,0.015585,-1.609466,3.140634,1.765525,-0.234309,-10.984404,-1.609317,0.515537,0.015593,-0.547142,0.000000
0.016000,-3.097051,1.903209,5.028191,4.528133,0.278065,-3.471966,-1.971985,3.528125,2.028075,0.028178,0.278173,-1.721763,3.778259,2.028182,0.153069,-11.721833,-1.471763,0.278095,-0.096938,-0.283970,0.000000
0.020000,-3.059568,1.565740,4.690548,3.940805,0.065657,-3.434536,-2.309344,2.940542,1.815556,0.315622,0.690659,-1.559556,4.315540,2.190707,0.440626,-11.059206,-1.059662,-0.184424,-0.309496,0.003366,0.000000
0.024000,-2.984601,1.140681,4.015573,3.015763,-0.234402,-2.984376,-2.609312,2.140687,1.390752,0.515630,0.890665,-1.109408,4.515566,2.265680,0.765636,-9.484390,-0.484181,-0.609536,-0.484544,0.327998,0.000000
0.028000,-2.765758,0.609358,3.109481,1.734286,-0.765545,-2.390778,-2.515730,1.109457,0.859454,0.859470,1.234331,-0.515769,4.609266,2.109444,1.109372,-7.265483,0.109266,-1.140530,-0.765480,0.672066,0.000000
0.032000,-2.340567,0.034371,2.034256,0.409494,-1.340762,-1.715537,-2.340608,0.034375,0.284429,1.034341,1.409390,0.284228,4.534505,1.784394,1.409467,-4.715592,0.659483,-1.590686,-0.840501,0.972009,0.000000
0.036000,-1.846846,-0.471964,1.028179,-0.971829,-1.972008,-0.971969,-2.096831,-0.971834,-0.346782,1.278068,1.653053,1.028077,4.278325,1.403240,1.528172,-2.347080,1.278195,-1.846831,-0.846752,1.215745,0.000000
0.040000,-1.340630,-0.840734,0.034250,-1.965515,-2.465549,-0.215589,-1.590687,-1.715729,-0.840701,1.284407,1.659505,1.659149,3.784240,1.034413,1.659414,-0.215551,1.659416,-2.090613,-0.840501,1.347069,0.000000
0.044000,-0.796931,-1.296830,-0.796776,-2.546970,-2.921988,0.453120,-1.171788,-2.172020,-1.046873,1.328125,1.703162,2.078103,3.078167,0.703073,1.703214,1.203040,1.828411,-2.046865,-0.671704,1.390668,0.000000
0.048000,-0.246796,-1.496997,-1.371766,-2.871836,-2.996941,0.878159,-0.621916,-2.371917,-1.121866,1.378181,1.628106,2.253268,2.378075,0.378023,1.628151,2.003356,1.753177,-1.996777,-0.497047,1.315551,0.000000
0.052000,0.446837,-1.678226,-1.803164,-2.678018,-2.928214,1.196939,-0.178090,-2.178208,-0.928154,1.196971,1.446811,2.197119,1.571988,0.196880,1.321867,2.072201,1.571831,-1.803083,-0.178210,1.134325,0.000000
0.056000,1.034456,-1.840779,-2.090659,-2.215497,-2.590553,1.409459,0.159480,-1.715729,-0.590568,1.034341,1.159490,1.784403,0.784509,0.159394,1.034468,1.659134,1.284371,-1.465783,0.159382,0.846989,0.000000
0.060000,1.446774,-1.803166,-2.178185,-1.553284,-2.053185,1.321788,0.446985,-1.053084,-0.053157,0.696840,0.821846,1.321777,-0.053143,0.321919,0.696921,0.946860,0.946942,-1.303157,0.571994,0.509225,0.000000
0.064000,1.834482,-1.790540,-2.165726,-0.665684,-1.290711,1.209499,0.709352,-0.290625,0.459334,0.459453,0.459469,0.584167,-0.665517,0.459286,0.334459,-0.040793,0.459608,-1.040671,0.834566,0.146772,0.000000
0.068000,2.077935,-1.671913,-2.047052,0.078020,-0.546912,1.078119,0.828072,0.578104,1.078086,0.078234,0.078167,-0.046904,-1.171896,0.703073,-0.171941,-0.921868,0.078387,-0.921792,1.077992,-0.234067,0.000000
0.072000,2.253236,-1.496997,-1.872001,0.753081,0.253164,0.878159,0.878137,1.253125,1.503124,-0.246807,-0.246789,-0.621827,-1.496856,0.878178,-0.496951,-1.746677,-0.246690,-0.872021,1.253040,-0.559749,0.000000
0.076000,2.228247,-1.146902,-1.646802,1.228083,0.978037,0.728190,0.978056,1.853083,1.728103,-0.521792,-0.646801,-1.022066,-1.896908,0.978058,-0.771813,-2.271616,-0.521798,-0.771846,1.353067,-0.834478,0.000000
0.080000,2.171833,-0.578229,-1.328159,1.671883,1.421777,0.671919,1.046922,2.046792,1.796984,-0.703220,-0.953046,-1.202989,-2.078328,0.796915,-1.078097,-2.703217,-0.703145,-0.703054,1.421836,-1.015705,0.000000
0.084000,1.952990,-0.046905,-0.921990,1.828259,1.953168,0.703069,1.078186,2.078270,1.578117,-0.921809,-1.171978,-1.297050,-2.421895,0.453248,-1.171886,-2.797216,-0.796906,-0.421866,1.453094,-1.109207,0.000000
0.088000,1.834482,0.584370,-0.415526,1.834499,2.209402,0.709349,1.209369,1.834520,1.209500,-1.040721,-1.415641,-1.165557,-2.665781,-0.290695,-1.290591,-2.665485,-0.915371,0.084401,1.459346,-1.103429,0.000000
0.092000,1.653123,1.403187,0.028020,1.778336,2.403133,0.778179,1.278235,1.278145,0.653047,-1.096898,-1.471986,-0.971676,-2.971801,-1.096780,-1.221876,-2.472191,-0.972077,0.653120,1.403081,-1.034090,0.000000
0.096000,1.434280,2.059450,0.559403,1.684363,2.559512,0.809329,1.309500,0.559271,0.059450,-0.940608,-1.315638,-0.940482,-3.315700,-2.065641,-1.190613,-2.190856,-0.940636,1.434552,1.309305,-0.878078,0.000000
0.100000,1.384302,2.634436,1.134393,1.634440,2.759469,0.884439,1.259434,-0.240584,-0.615722,-0.865632,-1.240582,-0.865618,-3.740673,-2.990726,-1.115708,-1.865831,-0.990604,2.384318,1.134257,-0.678466,0.000000
0.104000,1.440716,3.065545,1.565480,1.565796,2.940750,0.940709,1.190568,-0.934438,-1.309466,-0.684422,-1.059286,-0.934244,-4.059320,-3.809390,-0.934318,-1.434230,-1.059662,3.065575,0.940454,-0.497239,0.000000
0.108000,1.384302,3.384339,1.884435,1.384459,3.009477,0.884439,1.009320,-1.490543,-1.740617,-0.615566,-0.865732,-1.115647,-4.240739,-4.240610,-0.740709,-0.990713,-0.990604,3.634293,0.759546,-0.303406,0.000000
0.112000,1.296841,3.421952,2.047027,1.297094,3.046829,0.671919,0.796807,-1.703084,-2.078203,-0.453155,-0.578196,-1.453018,-4.203193,-4.328162,-0.578204,-0.453197,-1.078190,3.921822,0.546988,-0.140564,0.000000
0.116000,1.034456,3.159447,2.034256,1.159439,2.909374,0.409410,0.534441,-1.715729,-2.090663,-0.215549,-0.465720,-1.590750,-3.840687,-4.090664,-0.340635,0.034671,-0.965901,3.784556,0.284416,-0.028151,0.000000
0.120000,0.721716,2.722026,1.971960,0.971861,2.721868,0.096910,0.221798,-1.403105,-1.903063,-0.153032,-0.278187,-1.778392,-3.153220,-3.278290,-0.153056,0.471569,-0.778378,3.096959,-0.153204,0.034359,0.000000
0.124000,0.109486,2.234366,1.609399,0.609552,2.234303,-0.265579,0.109415,-0.890584,-1.640705,-0.015540,-0.015599,-1.765434,-2.140794,-2.265652,-0.015625,0.984592,-0.640824,2.234371,-0.515803,0.046966,0.000000
0.128000,-0.584525,1.540752,1.290756,0.165753,1.540555,-0.584359,0.040549,-0.084272,-1.084487,-0.084396,0.040532,-1.459257,-0.959575,-0.959413,0.040553,1.290420,-0.334275,1.040507,-0.834249,-0.021848,0.000000
0.132000,-1.303147,0.821887,0.821980,-0.303009,0.696903,-1.053108,-0.053033,0.696750,-0.553189,-0.053137,0.071931,-1.053259,0.446923,0.446958,0.196869,1.696866,-0.178193,-0.053181,-1.178093,-0.115350,0.000000
0.136000,-2.046758,0.078035,0.327975,-0.796732,-0.296904,-1.296778,0.078151,1.328187,-0.046810,-0.171831,0.078167,-0.296933,1.828168,1.828170,0.203058,1.953047,0.078387,-1.047012,-1.546943,-0.234067,0.000000
