Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.000000,-0.590665,0.659271,0.909683,-1.715707,-2.465772,0.034503,1.534436,-0.840703,-1.965618,0.659556,1.284511,1.409577,1.534501,-0.840721,0.659331,-0.465941,0.034142,0.409321,-1.465549,1.221700,0.000000
0.004000,-0.815853,0.934331,2.059619,-0.440464,-2.690767,-0.440635,1.809833,0.184339,-2.315560,0.684450,1.309212,1.684518,2.434438,0.309406,0.809459,-5.190613,-0.315517,0.059305,-1.065732,0.996610,0.000000
0.008000,-0.834080,1.165607,2.790477,0.790620,-2.459613,-0.834400,2.040337,1.165509,-2.334353,0.665414,1.165859,1.915421,3.165724,1.290715,0.790773,-9.459643,-0.709609,-0.334509,-0.583873,0.603130,0.000000
0.012000,-0.815853,1.309312,3.309771,2.184449,-1.940782,-1.190545,2.059769,2.059321,-2.190488,0.434540,0.809459,1.934465,3.434461,2.309580,0.684460,-12.816133,-1.065707,-0.815554,0.184586,0.121831,0.000000
0.016000,-0.759409,1.365821,3.365783,3.365677,-1.259274,-1.384223,1.990082,2.990518,-1.634469,0.240763,0.365725,1.615485,3.115682,2.990807,0.490519,-15.134669,-1.134609,-1.134182,0.990785,-0.446861,0.000000
0.020000,-0.690618,1.184318,3.059403,4.434374,-0.315814,-1.440515,1.559228,3.684433,-1.065488,0.059188,-0.065659,1.059652,2.559407,3.559363,0.309464,-16.190898,-1.190632,-1.440400,1.934813,-1.003189,0.000000
0.024000,-0.640642,0.859485,2.359251,5.109565,0.734165,-1.390632,0.984980,4.109403,-0.265805,-0.140446,-0.640838,0.484774,1.609427,3.859445,0.109402,-16.015700,-1.015480,-1.515586,2.859152,-1.453155,0.000000
0.028000,-0.684150,0.440719,1.565633,5.440751,1.690668,-1.309260,0.315582,4.315785,0.565632,-0.309330,-1.184258,-0.309104,0.440752,3.815567,0.065588,-14.934893,-0.684495,-1.309372,3.815760,-1.746880,0.000000
0.032000,-0.784103,-0.034181,0.590818,5.465679,2.465653,-1.159333,-0.408761,4.340581,1.215618,-0.409392,-1.534482,-1.034544,-0.784324,3.590599,-0.034283,-13.034815,-0.284608,-1.034542,4.716033,-1.846848,0.000000
0.036000,-1.028106,-0.528168,-0.278383,5.097101,2.971803,-1.028078,-1.153207,4.096814,1.721738,-0.278092,-1.653135,-1.652864,-1.778265,3.222097,-0.028161,-10.903451,0.096604,-0.527949,5.347209,-1.715759,0.000000
0.040000,-1.234479,-0.984357,-0.984271,4.515568,3.140640,-0.859202,-1.734156,3.640562,2.015949,-0.234162,-1.734295,-1.984341,-2.484391,2.640525,0.140651,-8.609492,0.515809,0.140330,5.515668,-1.422035,0.000000
0.044000,-1.534337,-1.284491,-1.409086,3.840733,2.965643,-0.784518,-2.159649,2.965721,2.090474,-0.034528,-1.534482,-2.159304,-2.784370,2.090561,0.215715,-6.409435,0.840355,0.590716,5.465349,-0.972069,0.000000
0.048000,-1.746590,-1.497055,-1.621663,2.878158,2.627969,-0.621772,-2.496693,2.127988,1.877916,0.252966,-1.122065,-2.121812,-2.747046,1.503041,0.503083,-4.496753,1.128196,1.003144,5.003180,-0.434498,0.000000
0.052000,-1.828316,-1.453269,-1.453289,2.046989,2.046821,-0.578021,-2.453139,1.296739,1.546767,0.421850,-0.703031,-1.953396,-2.453149,1.046782,0.671896,-2.953373,1.171984,1.296954,4.171822,0.109468,0.000000
