Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.000000,-2.984289,-3.859410,-4.109543,-3.859734,-2.609275,1.765522,-0.234419,0.390726,0.015503,1.890616,2.390775,1.515675,1.015623,1.640702,2.265517,2.640523,2.015748,-3.609385,2.265592,1.453099,0.000000
0.004000,-4.065896,-3.815786,-3.690733,-3.690901,-2.690520,1.184490,0.184318,1.309278,0.559425,2.559285,2.184494,2.184442,1.559551,2.059527,2.934496,3.184391,2.184451,-7.190763,1.934569,1.121783,0.000000
0.008000,-4.840770,-3.590774,-2.965786,-3.215784,-2.590616,0.534350,0.534290,2.034435,1.159469,2.909399,1.659313,2.784503,2.034549,2.284407,3.534386,3.534459,2.159480,-10.591156,1.784499,0.846634,0.000000
0.012000,-5.422056,-3.047071,-2.046822,-2.546730,-2.421908,-0.171872,0.828077,2.578091,1.703108,3.203078,1.078106,3.202983,2.328011,2.453067,3.828009,3.703364,1.953018,-13.423042,1.578317,0.640451,0.000000
0.016000,-5.684673,-2.309583,-1.059156,-1.809263,-1.934440,-0.934444,0.940728,2.940812,2.190626,3.315575,0.440588,3.315857,2.565510,2.440573,3.815672,3.440622,1.815680,-15.309547,1.315586,0.503232,0.000000
0.020000,-5.553364,-1.428363,-0.053353,-0.928069,-1.428314,-1.803069,1.071827,3.071912,2.446856,3.072018,-0.178253,3.322103,2.696885,2.196953,3.572014,3.071787,1.446910,-15.929155,0.946720,0.384498,0.000000
0.024000,-5.059272,-0.309273,1.190435,-0.184326,-0.934239,-2.559527,1.315578,2.940812,2.690615,2.565597,-0.809262,3.065572,2.690743,1.815609,2.940664,2.440594,0.940803,-15.309547,0.315557,0.252967,0.000000
0.028000,-4.378337,0.871810,2.372117,0.496653,-0.378356,-3.253258,1.621943,2.371955,2.622022,1.996801,-1.378020,2.747027,2.747047,1.246865,2.121790,1.746970,0.246808,-13.252703,-0.628359,0.059581,0.000000
0.032000,-3.434267,2.065751,3.440577,1.065915,0.065574,-3.684381,1.940608,1.690686,2.315623,1.190760,-1.809539,2.315608,2.815635,0.440747,1.065736,1.065602,-0.434397,-10.058846,-1.809341,-0.246851,0.000000
0.036000,-2.209415,3.165555,4.415601,1.415505,0.415430,-4.084405,2.415530,0.790540,1.790691,0.290786,-1.959510,1.915418,2.790725,-0.334435,-0.084389,0.415641,-1.334245,-5.960063,-3.209556,-0.647132,0.000000
0.040000,-1.084211,4.165710,5.290595,1.790828,0.665772,-4.209330,2.790660,-0.084406,1.165705,-0.459192,-2.084297,1.415740,2.540600,-1.209266,-1.084309,-0.209425,-2.209427,-1.584480,-4.459701,-1.146950,0.000000
0.044000,0.040473,5.040501,6.040826,2.165524,0.790555,-4.209330,3.165790,-0.959352,0.540718,-1.209171,-2.084297,1.040534,2.290816,-1.959461,-2.084539,-0.709248,-2.959453,2.539854,-5.709411,-1.771901,0.000000
0.048000,0.959631,5.584203,6.459636,2.584154,0.959263,-4.040814,3.459297,-1.540667,-0.040619,-1.665470,-1.915651,0.584578,1.834244,-2.540699,-2.790528,-1.165791,-3.665628,5.959410,-6.665942,-2.353481,0.000000
0.052000,1.765646,5.890495,6.890537,3.140863,1.140800,-3.609426,3.515762,-1.734345,-0.609484,-2.109516,-1.734271,0.015747,1.265748,-2.984510,-3.359576,-1.609312,-4.109309,8.139749,-6.984350,-2.922265,0.000000
0.056000,2.309563,6.059484,6.934507,3.934188,1.434291,-3.065605,3.309469,-1.690739,-0.940543,-2.190454,-1.690695,-0.440656,0.434501,-3.065717,-3.565606,-2.065472,-4.190615,8.810459,-6.940852,-3.378002,0.000000
0.060000,2.597092,5.846870,6.847117,4.971663,1.721951,-2.528163,2.846846,-1.278184,-0.903128,-2.152955,-1.653060,-1.028225,-0.403230,-2.903303,-3.528286,-2.528144,-4.028308,7.971540,-6.153095,-3.715717,0.000000
0.064000,2.715425,5.590632,6.715758,6.090729,2.090467,-1.909388,2.215666,-0.534338,-0.784367,-2.034518,-1.659286,-1.659516,-1.284297,-2.409519,-3.284320,-3.034478,-3.659538,5.716677,-5.034315,-3.847248,0.000000
0.068000,2.609548,5.109382,6.234292,7.234272,2.609421,-1.515742,1.484414,0.234425,-0.265670,-1.765714,-1.640610,-2.390742,-2.140796,-1.640584,-2.890767,-3.515533,-3.015788,2.610119,-3.515785,-3.828052,0.000000
0.072000,3.440475,0.315709,-0.309476,-0.809447,-2.059611,0.315599,-0.809413,-0.184360,-1.309299,0.440782,0.190731,-0.059205,-0.684407,-1.059346,0.690688,0.565779,0.815646,-1.435433,0.940630,1.003050,1.000000
