Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.000000,4.147250,-1.353053,-2.728203,2.521957,4.146766,-1.478185,-2.353141,0.146911,1.021871,-0.478104,-1.978200,-2.728135,-3.353204,-1.353120,-0.103141,-2.353087,0.021810,9.396544,0.771760,-1.915841
0.004000,6.584572,-0.790507,-2.290644,1.834498,2.459424,-1.540592,-2.040640,-0.290603,0.709359,-1.040707,-1.665681,-2.415620,-2.415698,-1.415566,-0.665673,-2.165610,-0.540558,11.084977,-0.790605,-2.603365
0.008000,8.321828,-0.178001,-1.553243,1.071870,0.821799,-1.553104,-1.553200,-0.678103,0.321853,-1.553138,-1.303111,-1.803097,-1.303077,-1.303129,-1.053154,-1.928077,-1.053072,11.822100,-2.428193,-3.115460
0.012000,8.996813,0.496881,-0.753226,0.246866,-0.878127,-1.503210,-1.003126,-1.128083,-0.003195,-1.878209,-0.878144,-1.128194,-0.128146,-1.003184,-1.378183,-1.378083,-1.503101,11.746907,-3.628092,-3.315869
0.016000,8.334369,1.209305,0.084434,-0.415536,-2.290793,-1.290653,-0.290572,-1.415705,-0.415553,-1.915577,-0.290677,-0.290703,1.084323,-0.790594,-1.665678,-0.790623,-1.790601,10.834333,-4.665564,-3.228439
0.020000,6.271792,1.646808,1.021979,-0.978245,-3.478194,-0.978151,0.271795,-1.603147,-0.728065,-1.853124,0.271831,0.521929,2.146830,-0.353131,-1.603227,-0.103052,-1.978226,9.396544,-5.103253,-2.790717
0.024000,3.015637,2.015582,1.890574,-1.484442,-4.359307,-0.734311,0.890649,-1.734340,-0.859359,-1.609364,0.890696,1.390609,3.140738,0.015574,-1.609456,0.640638,-1.859487,7.515571,-5.109577,-2.046987
0.028000,-0.915504,1.959270,2.584368,-1.790720,-4.790810,-0.415710,1.334396,-1.665627,-0.790743,-1.165614,1.334450,1.959436,3.709339,0.459350,-1.290657,1.334427,-1.665631,5.709791,-4.790713,-1.103415
0.032000,-5.115901,1.759433,3.009441,-1.990640,-5.115819,0.009406,1.634436,-1.615612,-0.740600,-0.615641,1.759417,2.384358,4.134456,0.759466,-0.990702,2.009406,-1.240697,4.009965,-3.990558,-0.053110
0.036000,-8.878111,1.371888,3.371899,-2.003168,-5.128095,0.246832,1.746910,-1.378156,-0.628219,-0.128122,1.871864,2.621986,4.246880,1.121858,-0.628140,2.496909,-0.753109,2.622305,-3.128162,0.934177
0.040000,-11.509445,0.740612,3.490607,-1.884283,-5.009324,0.490671,1.615663,-1.259429,-0.509460,0.365626,1.990619,2.615656,4.115592,1.240608,-0.259348,2.865645,-0.259458,1.615170,-2.259441,1.803376
0.044000,-12.740647,0.134460,3.384385,-1.740607,-4.865694,0.634410,1.509336,-1.115617,-0.490547,0.634471,2.009405,2.384358,3.759454,1.384438,0.009303,3.009439,0.134317,0.884883,-1.365758,2.447185
0.048000,-12.140906,-0.390545,3.234370,-1.515630,-4.765644,0.859324,1.234383,-1.015588,-0.515618,0.859373,1.734458,2.109363,3.359489,1.359357,0.109444,2.984411,0.359332,0.109024,-0.765642,2.796908
